日期,股票代码,收盘价,最低价,开盘价,最高价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2018/2/23,'399300,4071.0889,4035.2319,4061.7545,4085.2008,4052.7332,18.3557,0.4529,9945874600,1.28E+11
2018/2/22,'399300,4052.7332,4009.9202,4020.9731,4058.7878,3966.9614,85.7718,2.1622,10581157100,1.38E+11
2018/2/14,'399300,3966.9614,3923.1267,3945.0943,3971.4041,3935.6324,31.329,0.796,7108133800,93110201390
2018/2/13,'399300,3935.6324,3925.5955,3925.5955,3986.9807,3890.1046,45.5278,1.1703,11256588500,1.44E+11
2018/2/12,'399300,3890.1046,3828.0697,3846.2671,3907.843,3840.6527,49.4519,1.2876,11618263700,1.50E+11
2018/2/9,'399300,3840.6527,3759.1463,3896.1691,3911.2917,4012.0472,-171.3945,-4.272,20634982800,2.47E+11
2018/2/8,'399300,4012.0472,3974.6779,4022.8802,4071.6653,4050.4972,-38.45,-0.9493,15926998500,1.99E+11
2018/2/7,'399300,4050.4972,4048.4228,4205.7365,4212.5677,4148.8856,-98.3884,-2.3714,20312749300,2.62E+11
2018/2/6,'399300,4148.8856,4131.5562,4182.3257,4211.5234,4274.1464,-125.2608,-2.9307,21491045000,2.79E+11
2018/2/5,'399300,4274.1464,4200.1409,4204.458,4274.1464,4271.2326,2.9138,0.0682,16134779900,2.17E+11
2018/2/2,'399300,4271.2326,4181.7793,4213.9386,4271.7647,4245.8978,25.3348,0.5967,14606682700,1.91E+11
2018/2/1,'399300,4245.8978,4214.2909,4276.3425,4287.3888,4275.8986,-30.0008,-0.7016,19000293400,2.39E+11
2018/1/31,'399300,4275.8986,4232.7727,4234.1101,4287.8576,4256.1021,19.7965,0.4651,14521016400,1.94E+11
2018/1/30,'399300,4256.1021,4251.5706,4286.6834,4308.5115,4302.0181,-45.916,-1.0673,13903473000,1.87E+11
2018/1/29,'399300,4302.0181,4287.1124,4387.0577,4395.9053,4381.2996,-79.2815,-1.8095,19110035400,2.56E+11
2018/1/26,'399300,4381.2996,4351.4871,4352.2211,4403.3375,4365.0794,16.2202,0.3716,17722723700,2.23E+11
2018/1/25,'399300,4365.0794,4336.2386,4381.9768,4392.1963,4389.8853,-24.8059,-0.5651,19537495000,2.50E+11
2018/1/24,'399300,4389.8853,4349.0865,4389.4547,4397.8196,4382.6129,7.2724,0.1659,21981888900,2.84E+11
2018/1/23,'399300,4382.6129,4346.7925,4346.8885,4383.5722,4336.5974,46.0155,1.0611,20186758500,2.57E+11
2018/1/22,'399300,4336.5974,4275.8977,4276.4811,4338.4832,4285.395,51.2024,1.1948,17464319500,2.34E+11
2018/1/19,'399300,4285.395,4269.6167,4281.9371,4316.5714,4271.4168,13.9782,0.3272,20949057000,2.59E+11
2018/1/18,'399300,4271.4168,4246.684,4259.375,4292.6372,4248.1164,23.3004,0.5485,17203284600,2.25E+11
2018/1/17,'399300,4248.1164,4230.5367,4261.7833,4283.3449,4258.473,-10.3566,-0.2432,21431103200,2.85E+11
2018/1/16,'399300,4258.473,4213.1275,4215.6247,4260.2118,4225.2393,33.2337,0.7866,16149496300,2.28E+11
2018/1/15,'399300,4225.2393,4216.3585,4229.8357,4262.9314,4225.001,0.2383,0.0056,17090789700,2.35E+11
2018/1/12,'399300,4225.001,4199.0251,4205.1444,4227.3923,4205.5863,19.4147,0.4616,11135479400,1.58E+11
2018/1/11,'399300,4205.5863,4181.9572,4197.1136,4211.799,4207.8132,-2.2269,-0.0529,12157853900,1.70E+11
